Date,Price,Open,High,Low,Vol.,Change %
11/28/2018,24146.6,24070.0,24223.1,23955.2,961.05K,0.32%
11/29/2018,23917.0,24146.6,24491.0,23917.0,3.12M,-0.95%
11/30/2018,24031.8,23419.5,24337.9,23419.5,3.28M,0.48%
12/03/2018,25677.3,24491.0,25677.3,24337.9,4.36M,6.85%
12/04/2018,25562.5,25677.3,26098.2,25409.4,2.99M,-0.45%
12/05/2018,25906.9,25256.3,26059.9,25103.3,3.24M,1.35%
12/06/2018,25792.1,25792.1,25906.9,25409.4,2.50M,-0.44%
12/07/2018,25792.1,25868.6,26327.8,25753.8,1.53M,0.00%
12/10/2018,25792.1,25792.1,26098.2,25447.7,1.96M,0.00%
12/11/2018,25677.3,25792.1,25906.9,25562.5,1.44M,-0.45%
12/12/2018,26519.1,25792.1,26519.1,25562.5,2.80M,3.28%
12/13/2018,26251.3,26748.7,26748.7,26251.3,2.03M,-1.01%
12/14/2018,25945.1,26174.7,26633.9,25868.6,1.53M,-1.17%
12/17/2018,25409.4,25600.7,26059.9,25409.4,2.86M,-2.06%
12/18/2018,25753.8,25026.7,25753.8,24873.7,2.95M,1.36%
12/19/2018,25485.9,25753.8,25983.4,25485.9,1.65M,-1.04%
12/20/2018,25983.4,25639.0,26213.0,25562.5,2.06M,1.95%
12/21/2018,26021.7,25868.6,26059.9,25562.5,888.33K,0.15%
12/24/2018,26021.7,26021.7,26595.7,25868.6,2.34M,0.00%
12/25/2018,25065.0,25409.4,25830.3,24261.4,2.30M,-3.68%
12/26/2018,24950.2,25065.0,25600.7,24911.9,1.30M,-0.46%
12/27/2018,26021.7,25868.6,26366.1,25677.3,2.07M,4.29%
12/28/2018,26327.8,25868.6,26327.8,25753.8,2.68M,1.18%
01/02/2019,25639.0,26327.8,26327.8,25600.7,1.01M,-2.62%
01/03/2019,24491.0,25639.0,25868.6,24491.0,1.39M,-4.48%
01/04/2019,24146.6,24108.3,24452.7,23572.6,1.83M,-1.41%
01/07/2019,24720.6,24491.0,25256.3,24491.0,1.01M,2.38%
01/08/2019,24491.0,24950.2,24950.2,24414.4,702.48K,-0.93%
01/09/2019,25256.3,24720.6,25294.6,24567.5,1.35M,3.12%
01/10/2019,24873.7,25256.3,25332.9,24873.7,516.52K,-1.51%
01/11/2019,24414.4,24873.7,25103.3,24376.2,1.18M,-1.85%
01/14/2019,24414.4,24414.4,24758.9,24070.0,950.72K,0.00%
01/15/2019,24873.7,24299.6,25103.3,24299.6,730.36K,1.88%
01/16/2019,24644.1,25026.7,25065.0,24644.1,457.40K,-0.92%
01/17/2019,24452.7,24644.1,24797.1,24414.4,374.24K,-0.78%
01/18/2019,24261.4,24452.7,24720.6,24223.1,640.35K,-0.78%
01/21/2019,25141.5,24491.0,25524.2,24261.4,1.52M,3.63%
01/22/2019,25065.0,25179.8,25332.9,25026.7,709.27K,-0.30%
01/23/2019,25026.7,24797.1,25141.5,24567.5,575.72K,-0.15%
01/24/2019,24873.7,24911.9,25141.5,24873.7,728.89K,-0.61%
01/25/2019,24529.3,25026.7,25026.7,24491.0,718.12K,-1.38%
01/28/2019,24414.4,24529.3,24758.9,24337.9,685.69K,-0.47%
01/29/2019,24261.4,24414.4,24414.4,24146.6,799.76K,-0.63%
01/30/2019,24261.4,24414.4,24682.3,24184.8,540.07K,0.00%
